"","council","reference","date_received","date_validated","address","description","applicant","agent","status","decision","decision_date","category","search_term","url","decision_clean","address_clean","postcode","pc_lat","pc_lon","g_lat","g_lon","g_status","lat","lon","geometry"
"42","Cherwell","18/01219/F",NA,NA,"Manor House Nursing Home
Merton
Bicester
OX25 2NF","replacement porch, tile hanging on 3 gables, vent within courtyard, rendered walls within the parking area and enlarged parking area","NSS (Merton) LLP","BHP Harwood Architects","application permitted","delegated","28/12/2018","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/18/01219/F","approved","Manor House Nursing Home Merton Bicester OX25 2NF","OX25 2NF",51.855678,-1.16227,NA,NA,NA,51.855678,-1.16227,c(-1.16227, 51.855678)
"43","Cherwell","16/02190/F",NA,NA,"Heathfield House Nursing Home
Heathfield
Kidlington
OX5 3DX","change of use of the land to site 2 no containerised biomass boilers with fuel stores, ancillary equipment and pipe for connection to the property","Raw Biomass","Mid West Planning Ltd","application permitted","delegated","24/01/2017","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/16/02190/F","approved","Heathfield House Nursing Home Heathfield Kidlington OX5 3DX","OX5 3DX",51.847422,-1.242966,NA,NA,NA,51.847422,-1.242966,c(-1.242966, 51.847422)
"44","Cherwell","15/01216/F",NA,NA,"Land Incorporating Former Holly House
Bath Road
Banbury","variation of condition 2 of 13/01649/f - amendment to the parking layout","Greenpastures Christian Nursing Homes - Ms Anthea Speich","Carless And Adams Partnership","application permitted","delegated","29/01/2016","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/15/01216/F","approved","Land Incorporating Former Holly House Bath Road Banbury",NA,NA,NA,52.060994,-1.3450097,"ok",52.060994,-1.3450097,c(-1.3450097, 52.060994)
"45","Cherwell","15/00129/F",NA,NA,"Land Incorporating Former Holly House
Bath Road
Banbury","variation of condition 17 of 13/01649/f - change the condition from pre-commencement to pre-occupation","Green Pastures Christian Nursing Home","Carless & Adams Partnership","application withdrawn","level","16/09/2015","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/15/00129/F","withdrawn","Land Incorporating Former Holly House Bath Road Banbury",NA,NA,NA,52.060994,-1.3450097,"ok",52.060994,-1.3450097,c(-1.3450097, 52.060994)
"46","Cherwell","14/01566/F",NA,NA,"Heathfield House Nursing Home
Heathfield
Kidlington
OX5 3DX","demolish existing garage and store and replace with staff annexe","Mr Raj Gupta","Mr Bryan Benham","application permitted","delegated","10/11/2014","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/14/01566/F","approved","Heathfield House Nursing Home Heathfield Kidlington OX5 3DX","OX5 3DX",51.847422,-1.242966,NA,NA,NA,51.847422,-1.242966,c(-1.242966, 51.847422)
"47","Cherwell","13/00514/F",NA,NA,"Brooklands Nursing Home
11 Old Parr Road
Banbury
OX16 5HT","erection of 2 storey infill extension.  insertion of 2 no. dormer windows.  roof over central courtyard","Mr Charles Taylor","Frances Morrow Architect","application permitted","delegated","19/06/2013","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/13/00514/F","approved","Brooklands Nursing Home 11 Old Parr Road Banbury OX16 5HT","OX16 5HT",52.056953,-1.337357,NA,NA,NA,52.056953,-1.337357,c(-1.337357, 52.056953)
"48","Cherwell","13/00510/F",NA,NA,"Brooklands Nursing Home
14 Dashwood Road
Banbury
OX16 5HD","glazed roof over internal courtyard; extension of day room into central courtyard, alterations to dashwood rd entrance steps and landing to incorporate a platform lift","Brooklands 1 Ltd","Frances Morrow Architect","application permitted","delegated","21/06/2013","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/13/00510/F","approved","Brooklands Nursing Home 14 Dashwood Road Banbury OX16 5HD","OX16 5HD",52.058357,-1.337569,NA,NA,NA,52.058357,-1.337569,c(-1.337569, 52.058357)
"49","Cherwell","13/00317/F",NA,NA,"Land Incorporating Former Holly House
Bath Road
Banbury","replacement care facility","Green Pastures Christian Nursing Home","Carless And Adams Partnership","application withdrawn","committee","18/04/2013","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/13/00317/F","withdrawn","Land Incorporating Former Holly House Bath Road Banbury",NA,NA,NA,52.060994,-1.3450097,"ok",52.060994,-1.3450097,c(-1.3450097, 52.060994)
"50","Cherwell","11/01784/F",NA,NA,"Land South East Of Heathfield Nursing Home
Heathfield
Bletchingdon","change of use to caravan park to include replacement of existing building with new (office/reception, shop, store, launderette, kitchen, toilets, showers and washing facilities) together with static mobile to house managers accommodation and new bund","Investfront Ltd","Davis Planning","application permitted","committee","23/03/2012","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/11/01784/F","approved","Land South East Of Heathfield Nursing Home Heathfield Bletchingdon",NA,NA,NA,51.8545885,-1.2717642,"ok",51.8545885,-1.2717642,c(-1.2717642, 51.8545885)
"51","Cherwell","10/01055/F",NA,NA,"Wardington House Nursing Home
Wardington
Banbury
Oxfordshire
OX17 1SD","new bedroom extension to nursing home","Wardington House Partnership","Acanthus Clews Architects","application permitted","committee","08/10/2010","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/10/01055/F","approved","Wardington House Nursing Home Wardington Banbury Oxfordshire OX17 1SD","OX17 1SD",52.116208,-1.285919,NA,NA,NA,52.116208,-1.285919,c(-1.285919, 52.116208)
